pos,team,wins,losses,pct,gb,home,away,last10,streak
1,Boston Celtics,64,18,0.780,0.0,34-7,30-11,8-2,W3
2,New York Knicks,50,32,0.610,14.0,28-13,22-19,6-4,W1
3,Milwaukee Bucks,49,33,0.598,15.0,27-14,22-19,5-5,L2
4,Cleveland Cavaliers,48,34,0.585,16.0,27-14,21-20,6-4,W2
5,Orlando Magic,47,35,0.573,17.0,26-15,21-20,5-5,L1
6,Indiana Pacers,47,35,0.573,17.0,25-16,22-19,7-3,W4
7,Philadelphia 76ers,47,35,0.573,17.0,26-15,21-20,4-6,L3
8,Miami Heat,46,36,0.561,18.0,25-16,21-20,5-5,W1
9,Chicago Bulls,39,43,0.476,25.0,22-19,17-24,4-6,L2
10,Atlanta Hawks,36,46,0.439,28.0,20-21,16-25,3-7,L4
11,Toronto Raptors,25,57,0.305,39.0,14-27,11-30,3-7,W2
12,Charlotte Hornets,21,61,0.256,43.0,12-29,9-32,2-8,L5
13,Washington Wizards,15,67,0.183,49.0,9-32,6-35,1-9,L8
14,Detroit Pistons,14,68,0.171,50.0,8-33,6-35,2-8,W1
15,Brooklyn Nets,32,50,0.390,32.0,17-24,15-26,4-6,L1
