pos,team,wins,losses,pct,gb,home,away,last10,streak
1,Oklahoma City Thunder,57,25,0.695,0.0,31-10,26-15,7-3,W2
2,Denver Nuggets,57,25,0.695,0.0,30-11,27-14,6-4,L1
3,Minnesota Timberwolves,56,26,0.683,1.0,30-11,26-15,8-2,W5
4,Los Angeles Clippers,51,31,0.622,6.0,27-14,24-17,5-5,W1
5,Dallas Mavericks,50,32,0.610,7.0,27-14,23-18,6-4,W3
6,Phoenix Suns,49,33,0.598,8.0,27-14,22-19,5-5,L2
7,Los Angeles Lakers,47,35,0.573,10.0,25-16,22-19,4-6,L1
8,New Orleans Pelicans,49,33,0.598,8.0,27-14,22-19,7-3,W2
9,Sacramento Kings,46,36,0.561,11.0,25-16,21-20,5-5,W1
10,Golden State Warriors,46,36,0.561,11.0,25-16,21-20,4-6,L3
11,Utah Jazz,31,51,0.378,26.0,17-24,14-27,3-7,L4
12,Memphis Grizzlies,27,55,0.329,30.0,15-26,12-29,4-6,W2
13,Portland Trail Blazers,21,61,0.256,36.0,12-29,9-32,2-8,L5
14,San Antonio Spurs,22,60,0.268,35.0,13-28,9-32,3-7,W1
15,Houston Rockets,41,41,0.500,16.0,22-19,19-22,6-4,W3
